customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
41ce2a54c0b03bf3443c3d931a367089,3a653a41f6f9fc3d2a113cf8398680e8,75265,vianopolis,GO
7f8c8b9c2ae27bf3300f670c3d478be8,634f09f6075fe9032e6c19609ffe995a,44024,feira de santana,BA
569cf68214806a39acc0f39344aea67f,c2551ea089b7ebbc67a2ea8757152514,44380,cruz das almas,BA
d3e3b74c766bc6214e0c830b17ee2341,e97109680b052ee858d93a539597bba7,35400,ouro preto,MG
d2b091571da224a1b36412c18bc3bbfe,d699688533772c15a061e8ce81cb56df,4001,sao paulo,SP
3b6828a50ffe546942b7a473d70ac0fc,ccafc1c3f270410521c3c6f3b249870f,74820,goiania,GO
021e84751ba0ead75b6d314a6ead88d9,9a58c55c10b4eb6c69fb0874d8beb466,23025,rio de janeiro,RJ
148348ff65384b4249b762579532e248,db979bdfe0bbba29ecd3df3f6c50bea2,87711,paranavai,PR
4f28355e5c17a4a42d3ce2439a1d4501,4acce2834231e13b1514915adda5ec2b,21910,rio de janeiro,RJ
7acf55df0298e1d2c31200fb4f6fb93b,54d7a15160876f86860fd741b906a742,39230,buenopolis,MG
3187789bec990987628d7a9beb4dd6ac,6087cfc70fd833cf2db637a5e6e9d76b,88780,imbituba,SC
8628fac2267e8c8804525da99c10ed0e,7973a6ba9c81ecaeb3d628c33c7c7c48,85555,palmas,PR
4fa1cd166fa598be6de80fa84eaade43,68954feaafe4dd638f3bd3e2afa174ec,8473,sao paulo,SP
64a254d30eed42cd0e6c36dddb88adf0,41fc647b8c6bd979b1b6364b60471b50,89288,sao bento do sul,SC
cf8ffeddf027932e51e4eae73b384059,6cbe8a392b76916e84c2faf69d0d0da0,13454,santa barbara d'oeste,SP
48558a50a7ba1aab61891936d2ca7681,42f80af2e6c585667e4eb416859ae153,39370,jequitai,MG
b4214b2e14c916724d94efe51fcbd1f0,1eaa53faf68bb4c2a2d95a56b63aa8b1,74533,goiania,GO
8b212b9525f9e74e85e37ed6df37693e,f4a7ef6bd931f83d75d83b71c94e90df,13568,sao carlos,SP
c77ee2d8ba1614a4d489a44166894938,9c9cef121cb812cb301babddc2d8331e,38067,uberaba,MG
be8c14c16a4d47194ccdfe10f1fc5b1a,c86a25b8f5f6c203bb3471553bdc3200,13157,cosmopolis,SP
d954782ec6c0e911292c8a80757ef28d,2adaff8e437d7153f3326cf14187d821,6519,santana de parnaiba,SP
5c4795c07c0bd317adaf7406327bbfa9,f3227a87d760e7bbcaf5377918fd68a5,65075,sao luis,MA
f5618502bee8eafdee72fb6955e2ebdf,fa0ee7ceb94193fb02aa78ce3a55695a,6395,carapicuiba,SP
3df704f53d3f1d4818840b34ec672a9f,04cf8185c71090d28baa4407b2e6d600,5271,sao paulo,SP
f06a94a401e52fb019c72f2e8bbf6a2f,d4b1297d645ec19df4cd0af8cd6fe14a,48410,cicero dantas,BA
aae50600d30bf2efe013ca4c1754ded7,bdc67efa33dd0c3228b91714ac6e363c,23027,rio de janeiro,RJ
fb9590a1e30e0ba8304ea73a31325797,4f262a3ca91e56d568fd13240c3c3652,11740,itanhaem,SP
67407057a7d5ee17d1cd09523f484d13,7cfba6e55439cae3fd2479d62fafe67f,22240,rio de janeiro,RJ
957f8e082185574de25992dc659ebbc0,07d5b1f9bdd053347f0213187b343ac9,3531,sao paulo,SP
afb19a4b667cb708caab312757ec3d3f,a7e7b19ff34ab885f7b7331de2417cf3,78043,cuiaba,MT
caded193e8e47b8362864762a83db3c5,08fb46d35bb3ab4037202c23592d1259,13215,jundiai,SP
241e78de29b3090cfa1b5d73a8130c72,c63e44efa43f3947087aee96b388d949,4658,sao paulo,SP
62b423aab58096ca514ba6aa06be2f98,9c9242ad7f1b52d926ea76778e1c0c57,18052,sorocaba,SP
