seller_id,seller_zip_code_prefix,seller_city,seller_state
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
817245bcc3badd82bbd222e0366951a6,17056,bauru,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
b14db04aa7881970e83ffa9426897925,18048,sorocaba,SP
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
744dac408745240a2c2528fb1b6028f3,83408,colombo,PR
8b321bb669392f5163d04c59e235e066,1212,sao paulo,SP
76d64c4aca3a7baf218bf93ef7fa768d,80215,curitiba,PR
537eb890efff034a88679788b647c564,20270,rio de janeiro,RJ
4be2e7f96b4fd749d52dff41f80e39dd,69900,rio branco,AC
955fee9216a65b617aa5c0531780ce60,4782,sao paulo,SP
ba5daa4041e1f15cdf34b76e3e18a450,4363,sao paulo,SP
d3f39f05462b79a4562d35893a28f159,13730,mococa,SP
d1ef48b38baca7e831711c4a0aeb398f,86800,apucarana,PR
f7ba60f8c3f99e7ee4042fdef03b70c4,9628,sao bernardo do campo,SP
f84a00e60c73a49e7e851c9bdca3a5bb,20756,rio de janeiro,RJ
e5a38146df062edaf55c38afa99e42dc,1233,sao paulo,SP
b6dc74ed30f124f95227bed4e43a3bed,86702,arapongas,PR
ef0ace09169ac090589d85746e3e036f,24451,sao goncalo,RJ
87142160b41353c4e5fca2360caf6f92,90230,porto alegre,RS
289cdb325fb7e7f891c38608bf9e0962,31570,belo horizonte,SP
3504c0cb71d7fa48d967e0e4c94d59d9,9350,maua,SP
23613d49c3ac2bd302259e55c06c050c,13660,porto ferreira,SP
391fc6631aebcf3004804e51b40bcf1e,14940,ibitinga,SP
33cbbec1e7e1044aaf11d152172c776f,95705,bento goncalves,RS
e9779976487b77c6d4ac45f75ec7afe9,11701,praia grande,SP
db4350fd57ae30082dec7acbaacc17f9,3126,sao paulo,SP
04e38a233f726ef161074ab1c9b0399a,1239,sao paulo,SP
70125af26c2d6d4ef401a1d02ae7701f,74435,goiania,GO
6560211a19b47992c3666cc44a7e94c0,5849,sao paulo,SP
0b90b6df587eb83608a64ea8b390cf07,87025,maringa,PR
55c26bcb609f480eb7868594245febb5,14910,tabatinga,SP
95f83f51203c626648c875dd41874c7f,37564,borda da mata,MG
6df688df543f90e9b38f4319e75a9d88,31230,belo horizonte,MG
d673a59aac7a70d8b01e6902bf090a11,14940,ibitinga,SP
966cb4760537b1404caedd472cc610a5,9920,diadema,SP
f52c2422904463fdd7741f99045fecb6,9230,santo andre/sao paulo,SP
28405831a29823802aa22c084cfd0649,3644,sao paulo,SP
f5f1f2c5f923f36ad79ea1d07185ddc9,19820,taruma,SP
ea8482cd71df3c1969d7b9473ff13abc,4160,sao paulo,SP
5b925e1d006e9476d738aa200751b73b,4567,sao paulo,SP
fe2032dab1a61af8794248c8196565c9,13030,campinas,SP
2a84855fd20af891be03bc5924d2b453,30111,belo horizonte,MG
