review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
7b66de927426b71a817aa36df5e8a0b3,634e8f4c0f6744a626f77f39770ac6aa,1,,Muito bom o produto e preço cobrado!,2017-08-17 00:00:00,2017-08-17 23:36:23
8f39f09c22b1ceb6e3eb178d8e50bb8a,432aaf21d85167c2c86ec9448c4e42cc,4,,Gostei do produto,2018-03-13 00:00:00,2018-03-14 10:36:16
b1dafcdfcddb6feb75222b9c1f2baad3,b52cc4919de82b4d696a4380d10804a3,5,,,2018-06-19 00:00:00,2018-06-20 11:07:14
8079a046b23b88c4cea485cfbd8aec39,15bed8e2fec7fdbadb186b57c46c92f2,5,,,2017-10-05 00:00:00,2017-10-05 12:55:11
5ac796e8c64e828de2c229ca7067980f,6ad57aecbae806a7e9cc2cdb6b380711,1,,"Estou esperando até agora a entrega do produto, a nota fiscal não foi nem faturada ainda e já faz mais de um mês a data da compra ! Estou esperando alguma informação da lannister sobre a compra. ",2017-12-31 00:00:00,2017-12-31 13:00:06
e73b67b67587f7644d5bd1a52deb1b01,47770eb9100c2d0c44946d9cf07ec65d,5,,,2018-08-18 00:00:00,2018-08-22 19:07:58
c49ed188fdeaa694f0bddb9d78b1a718,6147a4d49752afd35a119d794e481588,3,,,2017-05-31 00:00:00,2017-06-02 11:32:38
a47832fc905918220d6e1a9642bbd0eb,0966b61e30c4a07edbd7523f59b3f3e4,1,Não recebi o produto,"Comprei o produto e depois eles informaram que não tinham no estoque, mas no site da lannister ele continuava disponível para venda. Já solicitei o cancelamento da compra, porém não obtive resposta.",2018-07-05 00:00:00,2018-07-05 12:35:40
fb342ab3ca4adb184f1509f27d8fabaf,f7959f8385f34c4f645327465a1c9fc4,5,,,2017-04-11 00:00:00,2017-04-11 13:04:05
4bbd26c22370d9ceeb45fc685ee15d63,f373335aac9a659de916f7170b8bc07a,2,,não recebi o produto consta que o mesmo voltou para o remetente. como faço para que possa reviar-lo?,2018-04-15 00:00:00,2018-04-19 01:31:04
914da4c2875eeb6dd3f1eba3539e73ca,6d25592267349b322799e2beb687871e,4,,,2018-08-30 00:00:00,2018-09-03 18:26:07
ff130b68d99d6cedd7329b13ffbe2f03,25f4376934e13d3508486352e11a5db0,5,,,2018-05-22 00:00:00,2018-05-23 15:47:22
08d8c01752bcbfbfe21481829879687e,e346cd9299371b18c0b28e8e29a5e376,5,,,2017-05-24 00:00:00,2017-05-25 11:09:52
9c0d840dfe562debfa52a1792bd64bff,00b1cb0320190ca0daa2c88b35206009,1,Entregaram produto errado,"Comprei dois fones de ouvido com valor de R$ 50, 32 e entregaram o cabo para para iPhone no valor de r$ 10",2018-08-28 00:00:00,2018-08-28 18:25:55
8f5b66ebafa5c69767c42dfeacfb4c86,d3d6788577c9592da441752e8a1dd5e3,5,,,2017-10-11 00:00:00,2017-10-15 20:47:19
764c587207b9589949abd863bdb72dec,1790eea0b567cf50911c057cf20f90f9,1,Enganadores,"Foi entregue um produto divergente do que eu havia comprado, além de não vir com todos os acessórios constantes na descrição do anuncio. Solicito providências urgentes.",2018-05-06 00:00:00,2018-05-08 23:47:22
0d384a4b7f233fc6fd6390bceedfb36b,0130f0f71fb0e831d18e6a3b33a3a50c,1,,"Comprei, paguei, e não entregaram!",2017-05-25 00:00:00,2017-06-02 15:11:00
346e42116863ea64d51cef464d8f0c9c,5ff96c15d0b717ac6ad1f3d77225a350,5,,,2018-07-31 00:00:00,2018-08-02 21:15:12
792972abcdad4e7ac40f11946afabc17,f169bd689fb8b32ccd62df9050aebc0b,5,Excelente,"Tudo conforme o combinado!! Entrega antes do prazo, ficamos felizes e satisfeitos! Parabéns!
",2018-05-01 00:00:00,2018-05-01 22:05:41
840e8a680fc1a09a493181e046380f59,a910f58086d58b3ae6f37aa712d377b9,5,,,2017-09-26 00:00:00,2017-09-30 23:48:54
c7862c2b2f4259f9b1173a9c14e737e5,688052146432ef8253587b930b01a06d,4,Produto entregue em parte,"Somente a Mala Pequena Bordo Avião 360º Viagem Seanite Preta 12771 foi entregue.
O Auto Transformador Automático Bivolt 5000va Até 12.000 Btus ainda não foi entregue.",2018-04-25 00:00:00,2018-04-27 22:09:02
